,Gender Role,Region of Ancestry: Africa,Region of Ancestry: East Asia and the Pacific,Region of Ancestry: Europe and Central Asia,Region of Ancestry: South Asia,Region of Ancestry: Middle East and North Africa,Region of Ancestry: Latin America and The Carribean,Current Region of Occupancy: West Coast,Current Region of Occupancy: The Midwest,Current Region of Occupancy: East Coast,Current Region of Occupancy: The South,Current Region of Occupancy: The North,Ethnicity: Black,Ethnicity: Caucasian,Ethnicity: Asian,Ethnicity: Hispanic or Latino,Ethnicity: Middle Eastern,Biological Gender,Education: Associate Degree,Education: Master's Degree,Education: High School Degree,Education: Trade School,Education: Bachelor's Degree,Education: Did not graduate high school,Education: Professional Degree,Education: Doctorate Degree,Income Range,Occupation: Unemployed,"Occupation: Professional, e.g. doctor, lawyer, teacher, executive",Occupation: Other,"Occupation: Specialist, e.g. technician, carpenter, hairdresser","Occupation: Office work, e.g. clerk, salesperson, secretary",Occupation: Retired,"Occupation: Service Industry, e.g. Farm labor, food service, house cleaner",Occupation: Student,Occupation: Homemaker,Political Affiliation,Age Group,Preferred Film Genre: Romance,Preferred Film Genre: Horror,Preferred Film Genre: Comedy,Preferred Film Genre: Drama,Preferred Film Genre: Historical,Preferred Film Genre: Animation,Preferred Film Genre: Documentary,Preferred Film Genre: Adventure,Preferred Film Genre: Fiction,Preferred Music Genre: Rap,Preferred Music Genre: Rock,Preferred Music Genre: Classical,Preferred Music Genre: Pop,Preferred Music Genre: R&B,Preferred Music Genre: Metal,Preferred Music Genre: Hip-Hop,Preferred Music Genre: Punk,Preferred Music Genre: Techno,Preferred Music Genre: Blues,Average time spent on Internet (in hours),Number of children,Number of vehicles owned,Marital Status: Single,Marital Status: Married,Marital Status: Divorced,Marital Status: In a relationship,Marital Status: Widowed,Joke 1,Joke 2,Joke 3,Joke 4,Joke 5,Joke 6,Joke 7,Joke 8,Joke 9,Joke 10,Joke 11,Joke 12,Joke 13,Joke 14,Joke 15,Joke 16,Joke 17,Joke 18,Joke 19,Joke 20,Joke 21,Joke 22,Joke 23,Joke 24,Joke 25,Joke 26,Joke 27,Joke 28,Joke 29,Joke 30,Joke 31,Joke 32,Joke 33,Joke 34,Joke 35,Joke 36,Joke 37,Joke 38,Joke 39,Joke 40,Joke 41,Joke 42,Joke 43,Joke 44,Joke 45,Joke 46,Joke 47,Joke 48,Joke 49,Joke 50,Joke 51,Joke 52,Joke 53,Joke 54,Joke 55,Joke 56,Joke 57,Joke 58,Joke 59,Joke 60,Joke 61,Joke 62,Joke 63,Joke 64,Joke 65,Joke 66,Joke 67,Joke 68,Joke 69,Joke 70,Joke 71,Joke 72,Joke 73,Joke 74,Joke 75,Joke 76,Joke 77,Joke 78,Joke 79,Joke 80,Joke 81,Joke 82,Joke 83,Joke 84,Joke 85,Joke 86,Joke 87,Joke 88,Joke 89,Joke 90,Joke 91,Joke 92,Joke 93,Joke 94,Joke 95,Joke 96,Joke 97,Joke 98,Joke 99,Joke 100,Joke 101,Joke 102,Joke 103,Joke 104,Joke 105,Joke 106,Joke 107,Joke 108,Joke 109,Joke 110,Joke 111,Joke 112,Joke 113,Joke 114,Joke 115,Joke 116,Joke 117,Joke 118,Joke 119,Joke 120
mean,0.252803418803,-0.863247863248,-0.794871794872,0.435897435897,-0.931623931624,-0.965811965812,-0.880341880342,-0.692307692308,-0.401709401709,-0.606837606838,-0.401709401709,-0.897435897436,-0.846153846154,0.521367521368,-0.777777777778,-0.931623931624,-0.965811965812,-0.162393162393,-0.623931623932,-0.794871794872,-0.606837606838,-0.880341880342,-0.196581196581,-0.965811965812,-0.948717948718,-0.982905982906,1.24792863602e-13,-0.931623931624,-0.606837606838,-0.863247863248,-0.846153846154,-0.282051282051,-0.82905982906,-0.726495726496,-0.965811965812,-0.948717948718,0.0126401709402,4.95841734243e-13,-0.230769230769,-0.230769230769,0.57264957265,0.282051282051,-0.0769230769231,-0.230769230769,0.128205128205,0.247863247863,0.145299145299,-0.91452991453,0.00854700854701,-0.794871794872,-0.606837606838,-0.91452991453,-0.897435897436,-0.965811965812,-0.965811965812,-0.982905982906,-0.965811965812,-2.13644391826e-13,1.87942764799e-12,-1.2816718247e-13,-0.504273504274,0.0769230769231,-0.82905982906,-0.811965811966,-0.931623931624,-0.537777777778,-0.304188034188,0.101282051282,-0.105641025641,-0.0252136752137,-0.415042735043,-0.155726495726,-0.271452991453,-0.170256410256,-0.0521367521368,-0.0208547008547,-0.294615384615,-0.284615384615,-0.0620512820513,0.223247863248,-0.207521367521,-0.377094017094,-0.18358974359,-0.0803418803419,0.208547008547,-0.279829059829,-0.052735042735,-0.416495726496,-0.145555555556,0.105726495726,0.0294017094017,0.0074358974359,-0.122478632479,0.0202564102564,-0.0922222222222,-0.0746153846154,-0.0761538461538,-0.197521367521,-0.463162393162,-0.234871794872,-0.186837606838,-0.199572649573,-0.330170940171,-0.395213675214,0.201282051282,0.0996581196581,-0.352735042735,-0.456068376068,0.0940170940171,-0.234700854701,-0.151452991453,-0.449829059829,-0.0603418803419,-0.13641025641,0.122136752137,-0.121623931624,-0.395299145299,-0.0619658119658,-0.214444444444,-0.132905982906,-0.514700854701,-0.490854700855,-0.125726495726,-0.123931623932,-0.474700854701,-0.469829059829,-0.132051282051,-0.314444444444,-0.205811965812,-0.0850427350427,0.00623931623932,0.0313675213675,-0.169658119658,-0.0460683760684,-0.646923076923,-0.218290598291,-0.0993162393162,-0.659487179487,-0.263247863248,-0.306324786325,0.157264957265,0.0581196581197,-0.413076923077,-0.0740170940171,-0.252393162393,-0.303675213675,-0.715726495726,-0.254102564103,-0.148803418803,-0.26735042735,-0.461367521368,-0.243333333333,-0.348290598291,-0.0289743589744,-0.544017094017,-0.0903418803419,-0.00290598290598,0.0755555555556,-0.172222222222,-0.107777777778,-0.0944444444444,0.0310256410256,-0.0616239316239,-0.666068376068,-0.0760683760684,-0.400598290598,-0.371452991453,-0.306324786325,-0.101965811966,-0.289230769231,-0.00444444444444,-0.0229914529915,-0.226666666667,-0.0289743589744,-0.11905982906,-0.231538461538,-0.602136752137,-0.551538461538,-0.0811111111111,-0.0987179487179,-0.370170940171,-0.273076923077,-0.400170940171,-0.0896581196581,-0.163418803419
std,0.254153513524,0.506951383542,0.609387221023,0.903867317321,0.364986908752,0.260358636328,0.47637990422,0.724706105254,0.919705997437,0.798244463433,0.919705997437,0.443042291603,0.535230930105,0.857002500683,0.631242768632,0.364986908752,0.260358636328,0.990970135578,0.784840152037,0.609387221023,0.798244463433,0.47637990422,0.984704718906,0.260358636328,0.317483473536,0.184900065408,1.0,0.364986908752,0.798244463433,0.506951383542,0.535230930105,0.963525797716,0.561564905368,0.690126570399,0.260358636328,0.317483473536,0.0127076756762,1.0,0.977193512977,0.977193512977,0.823326299293,0.963525797716,1.00132538163,0.977193512977,0.996013273164,0.972961909681,0.993643220374,0.406258147349,1.00426441167,0.609387221023,0.798244463433,0.406258147349,0.443042291603,0.260358636328,0.260358636328,0.184900065408,0.260358636328,1.0,1.0,1.0,0.867258180784,1.00132538163,0.561564905368,0.586215564853,0.364986908752,0.501712775213,0.617228565662,0.555248528482,0.626095432595,0.571244253409,0.616628239776,0.624860420606,0.585130791388,0.578786574831,0.491610353591,0.6081466654,0.519961103422,0.587444111005,0.567072850732,0.540768656413,0.619641033434,0.564607064813,0.689930608128,0.618638565896,0.626689805243,0.606247620551,0.619928560861,0.594358994384,0.644038235699,0.58284722704,0.575154088197,0.631913014865,0.599355840973,0.550995120979,0.626862894198,0.665616823682,0.661756865126,0.593451194843,0.557325277356,0.627384575707,0.61390026368,0.591478849656,0.560755314065,0.555644388713,0.590355735044,0.603554030984,0.598511982324,0.547602859595,0.57345303122,0.610896137469,0.663970897988,0.558514011966,0.561406687097,0.6492110086,0.557289977542,0.562045152906,0.54132591472,0.610932356034,0.604670677603,0.620576844875,0.500877802996,0.568064731392,0.647297187302,0.656109165203,0.549343766265,0.573255950096,0.609778844112,0.576196572726,0.649725723719,0.616057576703,0.6140267411,0.658647917541,0.626927278992,0.61709407608,0.474823853979,0.635750019456,0.608226260214,0.4513234297,0.609278585649,0.599153998813,0.643447910615,0.625835898431,0.565445295288,0.601073837666,0.658303265159,0.61689656861,0.412672777273,0.633995477312,0.646581411245,0.605617941989,0.575092055574,0.650323526912,0.647864250625,0.654034408848,0.557171210963,0.648864966059,0.567432298603,0.648607851937,0.605700095232,0.587393587004,0.616351115289,0.590009328704,0.603204027451,0.478996719564,0.642148813541,0.575518193185,0.605489635091,0.630113014344,0.62738131082,0.5863639476,0.631598197848,0.618049301902,0.612812903889,0.702033235061,0.614688010163,0.624303219024,0.472345265778,0.57437314464,0.658357121642,0.610036090596,0.657486046667,0.591589707452,0.615105798169,0.590458517951,0.637688663622
min,-0.505,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.3777223102,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.02525,-2.40393312348,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-2.71934188499,-1.06726987038,-1.89406820811,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0
25%,0.1085,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.71163342469,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.005425,-0.606743504008,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.336098435224,-1.06726987038,-0.551001660541,-1.0,-1.0,-1.0,-1.0,-1.0,-0.96,-0.89,-0.14,-0.72,-0.52,-0.97,-0.79,-0.85,-0.73,-0.4,-0.65,-0.77,-0.77,-0.53,0.05,-0.79,-0.89,-0.89,-0.71,-0.17,-0.85,-0.64,-0.95,-0.8,-0.3,-0.37,-0.65,-0.79,-0.44,-0.74,-0.77,-0.77,-0.79,-0.97,-0.89,-0.77,-0.79,-0.84,-0.87,-0.16,-0.38,-0.97,-0.93,-0.14,-0.9,-0.94,-0.95,-0.55,-0.82,-0.16,-0.65,-0.94,-0.59,-0.78,-0.77,-0.97,-0.98,-0.85,-0.85,-0.97,-0.96,-0.72,-0.89,-0.85,-0.68,-0.58,-0.59,-0.87,-0.62,-0.99,-0.78,-0.71,-0.98,-0.89,-0.9,-0.28,-0.5,-0.89,-0.62,-0.94,-0.95,-0.98,-0.92,-0.83,-0.92,-0.97,-0.95,-0.96,-0.71,-0.98,-0.72,-0.5,-0.57,-0.8,-0.72,-0.71,-0.46,-0.63,-0.98,-0.76,-0.96,-0.95,-0.96,-0.74,-0.84,-0.6,-0.56,-0.82,-0.86,-0.8,-0.86,-0.98,-0.99,-0.74,-0.67,-0.98,-0.9,-0.95,-0.64,-0.78
50%,0.266,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-0.0455445391802,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.0133,0.291851305725,-1.0,-1.0,1.0,1.0,-1.0,-1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.855523289661,-0.213453974077,-0.551001660541,-1.0,1.0,-1.0,-1.0,-1.0,-0.76,-0.46,0.23,0.07,0.11,-0.67,-0.13,-0.29,-0.01,0.05,0.18,-0.33,-0.47,0.08,0.38,-0.3,-0.56,-0.3,0.02,0.33,-0.41,0.12,-0.63,-0.08,0.28,0.15,0.19,0.04,0.11,0.09,0.1,0.06,-0.19,-0.68,-0.24,-0.2,-0.1,-0.47,-0.57,0.35,0.24,-0.51,-0.7,0.23,-0.28,0.0,-0.61,0.11,-0.01,0.19,0.07,-0.49,0.08,-0.25,0.06,-0.74,-0.76,0.01,-0.02,-0.7,-0.69,-0.01,-0.42,-0.31,0.05,0.16,0.21,-0.04,0.1,-0.92,-0.28,0.08,-0.92,-0.35,-0.37,0.24,0.19,-0.61,0.05,-0.35,-0.38,-0.95,-0.32,-0.02,-0.26,-0.73,-0.16,-0.63,0.1,-0.82,0.07,0.13,0.25,-0.09,0.08,0.09,0.23,0.08,-0.93,0.1,-0.57,-0.5,-0.32,0.0,-0.34,0.16,0.09,-0.22,0.12,0.08,-0.25,-0.78,-0.9,0.03,0.02,-0.69,-0.38,-0.62,0.05,-0.13
75%,0.4095,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,0.62054434633,-1.0,-1.0,-1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,0.020475,1.19044611546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,-1.0,1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,0.855523289661,0.64036192223,0.792064887027,-1.0,1.0,-1.0,-1.0,-1.0,-0.18,0.21,0.49,0.36,0.36,0.17,0.34,0.17,0.27,0.3,0.5,0.13,0.2,0.39,0.58,0.29,0.08,0.43,0.43,0.66,0.27,0.43,0.13,0.34,0.53,0.5,0.52,0.36,0.45,0.43,0.43,0.46,0.27,0.0,0.3,0.32,0.27,0.13,0.04,0.6,0.53,0.15,0.0,0.47,0.23,0.37,0.01,0.36,0.35,0.51,0.32,0.09,0.4,0.26,0.38,-0.15,0.0,0.39,0.47,0.0,0.08,0.35,0.17,0.37,0.43,0.45,0.52,0.35,0.4,-0.46,0.33,0.38,-0.46,0.18,0.21,0.64,0.56,0.0,0.4,0.21,0.28,-0.6,0.24,0.36,0.23,0.08,0.27,0.16,0.46,-0.21,0.4,0.39,0.53,0.28,0.33,0.39,0.46,0.44,-0.55,0.43,0.14,0.08,0.16,0.41,0.18,0.53,0.45,0.27,0.58,0.35,0.28,-0.4,-0.08,0.4,0.38,0.16,0.27,0.06,0.38,0.34
max,0.77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.95272211735,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0385,1.19044611546,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.855523289661,1.49417781854,2.1351314346,1.0,1.0,1.0,1.0,1.0,0.72,1.0,1.0,1.0,1.0,1.0,1.0,0.96,0.94,1.0,1.0,0.89,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.99,1.0,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.81,1.0,1.0,1.0,1.0,0.98,1.0,1.0,0.88,0.84,1.0,1.0,1.0,0.57,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.98,1.0,1.0,1.0,0.93,1.0,0.98,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.61,1.0,1.0,1.0,0.94,1.0,1.0,1.0,0.94,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.79,1.0,1.0,1.0,1.0,1.0,0.96,1.0,1.0,1.0,1.0,1.0,1.0,0.92,0.96,1.0,1.0,1.0,0.92,1.0,1.0,1.0
range,1.275,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.33044442755,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,0.06375,3.59437923894,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,3.57486517465,2.56144768892,4.02919964271,2.0,2.0,2.0,2.0,2.0,1.72,2.0,2.0,2.0,2.0,2.0,2.0,1.96,1.94,2.0,2.0,1.89,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.99,2.0,2.0,2.0,2.0,1.94,2.0,2.0,2.0,2.0,2.0,1.88,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.81,2.0,2.0,2.0,2.0,1.98,2.0,2.0,1.88,1.84,2.0,2.0,2.0,1.57,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.98,2.0,2.0,2.0,1.93,2.0,1.98,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.61,2.0,2.0,2.0,1.94,2.0,2.0,2.0,1.94,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.79,2.0,2.0,2.0,2.0,2.0,1.96,2.0,2.0,2.0,2.0,2.0,2.0,1.92,1.96,2.0,2.0,2.0,1.92,2.0,2.0,2.0
iqr,0.301,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,1.33217777102,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.01505,1.79718961947,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.19162172489,1.70763179261,1.34306654757,0.0,2.0,0.0,0.0,0.0,0.78,1.1,0.63,1.08,0.88,1.14,1.13,1.02,1.0,0.7,1.15,0.9,0.97,0.92,0.53,1.08,0.97,1.32,1.14,0.83,1.12,1.07,1.08,1.14,0.83,0.87,1.17,1.15,0.89,1.17,1.2,1.23,1.06,0.97,1.19,1.09,1.06,0.97,0.91,0.76,0.91,1.12,0.93,0.61,1.13,1.31,0.96,0.91,1.17,0.67,0.97,1.03,0.99,1.04,1.15,0.82,0.98,1.24,1.32,0.97,1.04,1.07,1.06,1.22,1.11,1.03,1.11,1.22,1.02,0.53,1.11,1.09,0.52,1.07,1.11,0.92,1.06,0.89,1.02,1.15,1.23,0.38,1.16,1.19,1.15,1.05,1.22,1.12,1.17,0.77,1.12,0.89,1.1,1.08,1.05,1.1,0.92,1.07,0.43,1.19,1.1,1.03,1.12,1.15,1.02,1.13,1.01,1.09,1.44,1.15,1.14,0.58,0.91,1.14,1.05,1.14,1.17,1.01,1.02,1.12
