,Joke
0,littl girl fall swing arm
1,6 afraid 7 7 regist 6 offend
2,what green smell like red paint green paint
3,chicken walk bar look around say barman sorri wrong joke
4,mani pancak take cover dog hous none chicken bone applesauc
5,knock knock rude cow rude co mooooooooooooooooooooooo
6,differ duck one leg walk bang head togeth
7,dinosaur cross road road
8,two cow graze togeth pastur one cow say worri whole mad cow diseas thing repli care lake
9,call black man fli plane pilot racist
10,sex research phone one particip recent survey check discrep ask bloke respons question frequenc intercours answer weekli wife hand answer time night right repli bloke go stay second mortgag paid
11,what differ ass kiss brown nose depth percept
12,blind man enter shop guid dog pick dog start swing air salesgirl ask help sir thank say look
13,man tell doctor entir bodi hurt hurt touch neck touch chest touch knee doctor say sir finger broken
14,group friend went deer hunt separ pair day night one hunter retun alon stagger eight-point buck mike ask anoth hunter faint coupl mile trail mike partner answer left lie alon carri deer back tough call said hunter figur one go steal mike
15,download movi jamaica pirat caribbean
16,shakespear thou talk normal
17,doctor tell guy bad news alzheim cancer guy say thank god cancer
18,dinner speaker write long speech peopl bore secretari sir gave speech plu two extra copi want
19,visit modern art museum ladi turn attend stand nearbi said suppos one hideou represent call modern art madam repli attend one call mirror
20,german shepherd went telegram offic took blank form wrote woof woof woof woof woof woof woof woof woof clerk examin paper polit told dog nine word send anoth woof price dog repli make sens
21,call dyslex agnost insomnia someon stay night wonder realli dog
22,mani kid attent deficit disord take screw light bulb let ride bike
23,scot invent hypnosi chloroform hypoderm syring easier talk woman
24,irish peasant wear cloak cape warm
25,barber gave haircut priest one day priest tri pay haircut barber refus say god work next morn barber found dozen bibl door shop policeman came barber haircut barber refus payment say protect public next morn barber found dozen doughnut door shop lawyer came barber haircut barber refus payment say serv justic system next morn barber found dozen lawyer wait free haircut
26,find blind man nudist coloni hard
27,call frenchman wear sandal phillip phlop
28,parapleg walk bar realli
29,statist speak 6 7 dwarv happi
30,mani actor take screw lightbulb one need least 10 discuss done better
31,best way forc man sit-up put remot control toe
32,african american man chines man mexican man jump bridg land first care
33,pick hitch hiker got hit
34,consid physic attribut consid shallow ugli peopl bitter
35,hear new household cleaner put market call bachelor work fast leav ring
36,differ men women woman want one man satisfi everi need man want everi woman satisfi one need
37,ca chines coupl caucasian babi two wong make white
38,worst thing eat veget get back wheelchair
39,call kid arm eyepatch name
40,two sausag pan one said blimey hot one said aaaah talk sausag
41,two parrot perch one said smell fish
42,duck goe bar say bitter bag excel salt vinegar crisp barman respond speak good english duck duck say barman say thought work circu make good live say duck plumber
43,bird fli south far walk
44,nippl pierc sick lose car key troubl got realli elong nippl shove key ignit
45,boy dad sock hole dad boy well get feet
46,red exist tomato
47,bunni cross road car come
48,mous spin higher fewer
49,see said blind man deaf ladi
50,dentur moon common come night
51,got lost thought unfamiliar territori
52,guy enter bar carri allig say patron deal open allig mouth place genit insid gator close mouth one minut open remov unit unscath work everyon buy drink crowd agre guy drop pant put privat gator mouth gator close mouth minut guy grab beer bottl bang gator top head gator open wide remov genit unscath everyon buy drink say pay anyon 100 will give tri hand goe back bar woman give tri say promis hit head beer bottl
53,spell canada canadian c-eh n-eh d-eh
54,6 afraid 7 caus 7 8 9
55,lie bottom ocean twitch nervou wreck
56,hot dog walk bar bartend look say serv food
57,man walk bar barman said got steer wheel stick fli know said man drive nut
58,peopl alway tell back hard drive ca seem figur put revers
59,old beekeep never die buzz
60,leper say prostitut keep tip
61,redneck best friend toni duck hunt suddenli magnific mallard flew head shoulder rifl toni blast sky great shot huh exclaim toni sure said redneck wast bullet figur repli toni well said redneck fall alon kill
62,make idiot read dumb joke
63,know blond make chocol chip cooki shell floor
64,blond say open box cheerio oh look daddydoughnut seed
65,hide dollar bill plastic surgeon ca hide dollar bill plastic surgeon
66,man pay 2 1 item need woman pay 1 2 item need sale
67,insensit bit base peni call man
68,engin cross road one day frog call said kiss turn beauti princess bent pick frog put pocket frog spoke said kiss turn back beauti princess stay one week engin took frog pocket smile return pocket frog cri kiss turn back princess stay anyth want engin took frog smile put back pocket final frog ask matter told beauti princess stay week anyth want wo kiss engin said look engin time girlfriend talk frog cool
69,old man drive along motorway pull polic realiz wife fell car five mile back say polic offic thank good exclaim old man thought go deaf
70,mani psychiatrist take chang lightbulb oh one lightbulb realli want chang
71,polit correct idea take fun dysfunct
72,hear constip account use pencil budget
73,red-hair looni like biscuit ginger nut
74,differ philosoph engin year
75,differ lawyer vampir vampir suck blood night
76,hear new sushi bar cater exclus lawyer call sosumi
77,two cannib soup lunch one said realli like mother-in-law side okay eat noodl
78,mani blond take chang light bulb one hold socket wait world revolv around
79,hear african american group bought toy r us make one chang name toy b us
80,read mani horribl thing drink smoke recent made new firm new year resolut read
81,spend night studi sleep exam
82,say ca get decent job without educ look albert einstein drop-out still end first man moon
83,past anoth countri properti cheaper
84,wife ca children like
85,date pe teacher moment liter embrac childhood fear
86,best trade ever made
87,white ca jump refriger
88,go kid need set good exampl grandkid
89,ca lose home pigeon home pigeon come back lost pigeon
90,heard secret servic chang command ca say get anymor presid attack donald duck
91,tell pirat fallen modern technolog ipatch give away
92,free time stalk realli enjoy walk park go movi friend know
93,man drop phone concret floor phone fine damag come airplan mode
94,think smoke use narcot yeah whatev hang sometim
95,call shotgun cop put back anyway
96,recent studi say masturb 2 time week increas life expect 20 done math jealou immort
97,got fire job bank today old ladi came ask check balanc push
98,use two kidney grew
99,dr bad new jim jim doc dr stop masturb jim oh god dr talk
100,appreci badass chines make languag total tattoo symbol
101,dad donat present orphanag son dad ahv someth play take
102,seen cat late ling nope seen dad late jamal
103,get man never lay finger walk life
104,one twin ugli
105,made delici vegan hotdog
106,one thing muslim man ca white peopl play prank intern airport
107,like liber anyth work class anyth apart mix
108,6 afraid 7 7 black
109,asian grade scale averag b bad c catastroph disown f forgotten forev
110,oregon lead america marit infidel clinic depress sad state affair
111,find obes joke horribl think enough plate
112,oh think drop high school bet realli success life
113,wish white peopl took joke well take land cultur
114,cow friend food name one cow friend mom
115,dog love glad live china
116,know lot joke unemploy peopl none work
117,call polic offic sleep bag pig blanket
118,call fratboy suit defend
119,suffer pm wife get suffer
